LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID4192,4192,0,45.0,72.7829457364341,52.701550387596896,0.0,186.0,186,3.6996385101659595,1,,109.5,103.0,45.0,207.0,4818.0,45.063004988622886,0.8140430860114938,2.180839778067647,4.927778974726389E-4,0.029081849224082867,4.617758547851196,3.21626279497188,1.4289423081802668,1.4357528728903415,43.0,25.77269903474535,0.8135017942213493,0.9662921348314607,3.9302997564111664
ID4194,4194,0,54.0,73.00442477876106,55.08997050147493,0.0,187.0,187,4.240814611532102,1,,101.0701754385965,103.0,32.0,157.0,5761.0,36.875688685638124,0.8741890302622886,2.55684756087975,0.02443985129025039,-0.020333196287517143,5.40147025622429,3.5025954912091155,1.3195552304178273,1.5421336177074996,56.49999999999999,29.302757382371414,0.826877802133398,0.9658119658119656,3.898380853387117
ID4195,4195,0,46.0,73.33687943262412,57.58510638297872,0.0,188.0,188,3.8678889139475245,1,,106.25531914893617,107.0,50.0,157.0,4994.0,30.054637264348766,0.7976961843052556,3.1375481763768613,-0.026301493363487447,-0.0960279910000132,5.039987582896918,3.2327815094372587,1.3804292248412429,1.5590251206844616,47.0,26.24483498974493,0.8574721607346986,1.0,3.82820263264279
ID4196,4196,0,50.0,73.77609427609427,60.50673400673401,0.0,189.0,189,3.9694255713009206,1,,125.01960784313725,117.0,40.0,214.0,6376.0,51.98595587120754,0.862556137172398,2.227409627792968,-0.0032379266030901173,0.10557034613318737,4.79922311595442,3.6844565783245695,1.296163720880736,1.302559282198616,49.5,26.556395895082645,0.8820166718632626,1.0,3.7745617524365414
ID4197,4197,0,53.0,74.07098765432099,62.2746913580247,0.0,190.0,190,4.145929793656026,1,,122.68518518518519,124.0,39.0,219.0,6625.0,50.034261496997885,0.8770364074231477,2.291392831990279,-0.05449573548925778,0.04817640675826558,4.973370733615897,3.6606095582478044,1.4637532548719105,1.3586181903531012,54.0,27.61431828770913,0.8898872230538563,0.9818181818181818,3.7578327444274136
ID4199,4199,0,51.0,73.90333333333334,64.54666666666667,0.0,191.0,191,3.989422804014327,1,,130.74,121.0,38.0,221.0,6537.0,53.82921215875868,0.8599203338391502,2.245868525379532,0.015316803037872003,0.026479773061236635,4.922679229412745,3.488271017947564,1.3569156991470601,1.4112089353393078,50.0,26.85038626520892,0.8715228794709453,0.9803921568627451,3.7972180411214724
ID4198,4198,0,53.0,74.27777777777779,66.22380952380952,0.0,192.0,192,4.087941905733129,1,,124.18518518518519,120.0,46.0,221.0,6706.0,53.13815176129641,0.8862966028819648,2.196152237731194,0.03936318687407142,0.03499090022703085,4.918660104795962,4.003316757909568,1.6354509004904911,1.2286462456606515,52.5,27.80156135230104,0.8535535908750237,0.9813084112149533,3.836979997033279
ID4200,4200,0,47.0,74.40322580645162,67.43548387096774,0.0,193.0,193,3.847260025985541,1,,130.61702127659575,134.0,44.0,204.0,6139.0,46.534490804268835,0.8530464224220238,2.584289550805523,0.1865666216850179,0.19970656293094127,4.987061359374453,3.3474552919382248,1.0084031626092926,1.4898067112008753,46.5,26.041723978299814,0.8616350440499697,0.9893617021276596,3.818943691600067
ID4201,4201,0,50.0,74.71428571428571,68.63265306122449,0.0,194.0,194,3.949327084834294,1,,127.7,134.0,50.0,213.0,6385.0,46.64772453273185,0.8872016045119357,2.5739164802031547,0.11793391309839725,0.02449828066930985,4.726700575844893,3.619153388247554,0.9483224548135202,1.3060238317596229,49.0,28.131872637862802,0.7780520636519729,0.9245283018867925,4.018838948266114
ID4204,4204,0,50.0,74.46699669966998,69.15016501650166,0.0,195.0,195,4.009320298040732,1,,117.65306122448979,114.0,52.0,205.0,5765.0,45.3764582044883,0.8797749816385663,2.4269921696609895,0.07112098379917117,-0.025613398299840526,4.924783294879385,3.5994230522349713,0.9457832267185347,1.368214634237413,50.5,26.398015148046422,0.9106651031724172,1.0,3.714715728783703
